"speakerOptimality,wonkinessPrior,linkingBetaConcentration,softmaxWonky",posteriorProb
"1.85,0.81,2.3333333333333335,4.01",0
"1.85,0.81,2,4.01",0
"1.85,0.81,1.6666666666666667,4.01",0
"1.85,0.81,1.3333333333333333,4.01",0
"1.85,0.81,1,4.01",0
"1.85,0.81,0.6666666666666666,4.01",0
"1.85,0.81,0.3333333333333333,4.01",0
"0.1,0.61,6.333333333333333,3.01",0
"0.1,0.61,6,3.01",0
"0.1,0.61,5.666666666666667,3.01",0
"0.1,0.61,5.333333333333333,3.01",0
"0.1,0.61,5,3.01",0
"0.1,0.61,4.666666666666667,3.01",0
"0.1,0.61,4.333333333333333,3.01",0
"0.1,0.61,4,3.01",0
"0.1,0.61,3.6666666666666665,3.01",0
"0.1,0.61,3.3333333333333335,3.01",0
"0.1,0.61,3,3.01",0
"0.1,0.61,2.6666666666666665,3.01",0
"0.1,0.61,2.3333333333333335,3.01",0
"0.1,0.61,2,3.01",0
"0.1,0.61,1.6666666666666667,3.01",0
"0.1,0.61,1.3333333333333333,3.01",0
"0.1,0.61,1,3.01",0
"0.1,0.61,0.6666666666666666,3.01",0
"0.1,0.61,0.3333333333333333,3.01",0
"4.85,0.41000000000000003,6.333333333333333,2.51",0
"4.85,0.41000000000000003,6,2.51",0
"4.85,0.41000000000000003,5.666666666666667,2.51",0
"4.85,0.41000000000000003,5.333333333333333,2.51",0
"4.85,0.41000000000000003,5,2.51",0
"4.85,0.41000000000000003,4.666666666666667,2.51",0
"4.85,0.41000000000000003,4.333333333333333,2.51",0
"4.85,0.41000000000000003,4,2.51",0
"4.85,0.41000000000000003,3.6666666666666665,2.51",0
"4.85,0.41000000000000003,3.3333333333333335,2.51",0
"4.85,0.41000000000000003,3,2.51",0
"4.85,0.41000000000000003,2.6666666666666665,2.51",0
"4.85,0.41000000000000003,2.3333333333333335,2.51",0
"4.85,0.41000000000000003,2,2.51",0
"4.85,0.41000000000000003,1.6666666666666667,2.51",0
"4.85,0.41000000000000003,1.3333333333333333,2.51",0
"4.85,0.41000000000000003,1,2.51",0
"4.85,0.41000000000000003,0.6666666666666666,2.51",0
"4.85,0.41000000000000003,0.3333333333333333,2.51",0
"1.85,0.81,6.333333333333333,4.26",0
"1.85,0.81,6,4.26",0
"1.85,0.81,5.666666666666667,4.26",0
"1.85,0.81,5.333333333333333,4.26",0
"1.85,0.81,5,4.26",0
"1.85,0.81,4.666666666666667,4.26",0
"1.85,0.81,4.333333333333333,4.26",0
"1.85,0.81,4,4.26",0
"1.85,0.81,3.6666666666666665,4.26",0
"1.85,0.81,3.3333333333333335,4.26",0
